Texto;Classe
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800909;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800801;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800948;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801620;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800913;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801474;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800608;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800954;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800850;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800620;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801587;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800643;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800752;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801484;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800674;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800682;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800932;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800737;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800725;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800809;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800837;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801583;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800754;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801698;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801562;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800758;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800630;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800663;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800906;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800938;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800667;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801556;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800836;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800719;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800617;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800917;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520801016;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800696;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800792;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800880;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800606;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520801026;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800957;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801670;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800889;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800700;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800977;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800729;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801566;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801655;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801638;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801545;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800980;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801572;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520801027;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800989;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800975;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800688;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800641;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800728;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800978;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800842;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800806;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800970;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800715;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800971;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800658;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801579;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801538;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800937;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800979;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800648;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801635;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800907;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800818;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520801007;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800612;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800901;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520801019;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801599;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801489;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800927;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800756;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800619;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800747;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800923;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801694;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800727;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800647;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800863;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801594;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801596;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800914;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800961;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800828;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800676;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800644;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800915;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801714;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800817;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801491;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800953;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801582;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801549;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800709;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800813;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801569;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800831;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800858;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800933;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801689;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800893;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800787;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800972;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800765;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800624;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800731;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800773;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801527;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800918;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801618;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800967;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800716;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801710;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800642;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800955;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801644;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800821;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800878;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800945;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800666;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800929;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800985;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800866;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800615;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800911;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800713;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800881;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801702;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800900;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800730;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800965;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8108520801552;DATAPROC
SMARTPHONE SYMBOL MC35 - SERIE:S8109520800628;DATAPROC
TELA ELETRICA DE PROJECAO NARD, 100pol., 110v, C/;DATAPROC
CESSAO DE USO DO SOFTWARE WEBSENSE ENTERPRISE + R;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO;DATAPROC
REPLACEMENT AND UPGRADE OF WBB FIELD FORCE MOBILE;DATAPROC
REPLACEMENT AND UPGRADE OF WBB FIELD FORCE MOBILE;DATAPROC
SOLICITACAO DE NY PARA COMPRA DE 03 RIVERBEDS PAR;DATAPROC
SOLICITACAO DE NY PARA COMPRA DE 03 RIVERBEDS PAR;DATAPROC
SOLICITACAO DE NY PARA COMPRA DE 03 RIVERBEDS PAR;DATAPROC
SERVERS ACQUISITION FOR INTEGRATION PROJETO DW;DATAPROC
NOTEBOOK MCA LENOVO MOD T61 SERIE 1S7661E46L3GX83;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
NOTEBOOK MCA LENOVO MOD T400 SERIE 1S6475D96R8966;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
NOTEBOOK MCA LENOVO MOD T61 SERIE 1S7661E46L3KV17;DATAPROC
NOTEBOOK MCA LENOVO MOD T60 SERIE 1S1952AB5L3DN40;DATAPROC
SERVERS ACQUISITION FOR INTEGRATION PROJETO DW;DATAPROC
NOTEBOOK MCA LENOVO MOD T61 SERIE 1S7661E46L3KV16;DATAPROC
NOTEBOOK MCA LENOVO MOD T410 SERIE 1S25373L2R8H66;DATAPROC
NOTEBOOK MCA LENOVO MOD X61S SERIE 1S7667C76L3F77;DATAPROC
NOTEBOOK MCA LENOVO MOD T410 SERIE 1S2537OD4L1BF5;DATAPROC
1 UN SISTEMA WINDOWS 2000, MICROCOMPUTADOR PORTAT;DATAPROC
CADEIRA GIRATORIA ESTOFADA EM TECIDO C/BRAC E ROD;DATAPROC
SERVERS ACQUISITION FOR INTEGRATION PROJETO DW;DATAPROC
Projeto de troca do smartphone 800 aquisição de s;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA HP MOD DC78;DATAPROC
NOTEBOOK MCA LENOVO MOD T400 SERIE 1S6475D96L3CZV;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
NOTEBOOK MCA LENOVO MOD T410 SERIE 1S25373L2R8X55;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
SWITCH MCA CISCO MOD CATALYST 3550 NUM.DE PORTAS;DATAPROC
SWITCH MCA CISCO MOD CATALYST 2900 NUM.DE PORTAS;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
SWITCH MCA CISCO MOD CATALYST 3550 NUM.DE PORTAS;DATAPROC
SWITCH MCA CISCO MOD CATALYST 3550 NUM.DE PORTAS;DATAPROC
SWITCH MCA CISCO MOD CATALYST 3550 NUM.DE PORTAS;DATAPROC
NO BREAK MCA EATOM MOD 9135 POTENCIA EM KVA 6 SER;DATAPROC
CATRACA TRIPOIDE BIDIRECIONAL COM COFRE COLETOR D;DATAPROC
MICROCOMPUTADOR C/TECLADO E MOUSE MCA LENOVO MOD;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
Wirelless mod AIR-LAP1142N-T-K9 serie 1140, 1250/;DATAPROC
16-LICENCAS MS OFFICE:8-PRO UP E 8-STD UP AMBAS M;DATAPROC
CESSAO SOFTWARES DA MICROSOFT-CONTRATO ENTERPRISE;DATAPROC
CESSAO SOFTWARES MS-CONTRATO ENTERPRISE AGREEMENT;DATAPROC
CESSAO SOFTWARES MS CONTRATO ENTERPRISE AGREEMENT;DATAPROC
INSTAL DE MUSICA AMBIENTE NA SALA DA PRESIDENCIAS;DATAPROC
3 LICENCAS USO MS-WORD/MS-EXCELL E ACESS SISTEMIC;DATAPROC
LICENCA DE USO SOFTWARE ADM DO SETOR JURADVANCED;DATAPROC
18-LICENCAS MS OFFICE:9-PRO UP E 9-STD UP AMBAS M;DATAPROC
CESSAO SOFTWARES DA MICROSOFT-CONTRATO ENTERPRISE;DATAPROC
CESSAO SOFTWARES MS-CONTRATO ENTERPRISE AGREEMENT;DATAPROC
CESSAO SOFTWARES MS CONTRATO ENTERPRISE AGREEMENT;DATAPROC
CESSAO DE USO DO SOFTWARE: ADONEW-PUBLISHING;DATAPROC
CESSAO DE USO DO SOFTWARE COREL DRAW V.11  (KIT M;DATAPROC
CESSAO DE USO DO SOFTWARE COREL DRAW V.11  (KIT M;DATAPROC
CESSAO DE USO DO SOFTWARE COREL DRAW V.11  (KIT M;DATAPROC
CESSAO DE USO DO SOFTWARE COREL DRAW V.11  (KIT M;DATAPROC
IMPLEMENTACAO DO SISTEMA DE ARMAZENAMENTO E RECUP;DATAPROC
CESSAO DE USO DO SOFTWARE ESPAIDER - GERENCIAMENT;DATAPROC
CESSAO DE USO DO SOFTWARE IN DESIGN CS2;DATAPROC
CESSAO DE USO DO SOFTWARE IN DESIGN CS2 P/USO DO;DATAPROC
10-USER LICENSE E 10-PACK PLANNER SOFTWARE HYPERI;DATAPROC
CESSAO SOFTWARES DA MICROSOFT-CONTRATO ENTERPRISE;DATAPROC
CESSAO SOFTWARES MS-CONTRATO ENTERPRISE AGREEMENT;DATAPROC
CESSAO SOFTWARES MS-CONTRATO ENTERPRISE AGREEMENT;DATAPROC
